Nombre,Apellido,Email,DNI,Fecha Nacimiento,Género,Teléfono,Distancia,Estado Pago,Precio Total,Pagado Online,Pendiente Presencial,Presencial,Fecha Inscripción,N°,Pecho
Juan,Pérez,juan.perez@email.com,12345678,15/05/1985,M,54911234567,7K,approved,3000,3000,0,0,01/02/2026,1001,
María,González,maria.gonzalez@email.com,23456789,20/03/1990,F,54911234568,7K,approved,3000,3000,0,0,01/02/2026,1002,
Carlos,López,carlos.lopez@email.com,34567890,10/12/1978,M,54911234569,7K,approved,3000,3000,0,0,01/02/2026,1003,
Ana,Martínez,ana.martinez@email.com,45678901,25/07/1982,F,54911234570,7K,approved,3000,3000,0,0,01/02/2026,1004,
Pedro,Sánchez,pedro.sanchez@email.com,56789012,05/11/1995,M,54911234571,7K,approved,3000,3000,0,0,02/02/2026,1005,
Laura,Rodríguez,laura.rodriguez@email.com,67890123,15/04/1988,F,54911234572,7K,approved,3000,3000,0,0,02/02/2026,1006,
Diego,Fernández,diego.fernandez@email.com,78901234,30/08/1992,M,54911234573,7K,approved,3000,3000,0,0,02/02/2026,1007,
Sofía,García,sofia.garcia@email.com,89012345,12/01/1987,F,54911234574,7K,approved,3000,3000,0,0,03/02/2026,1008,
Martín,Díaz,martin.diaz@email.com,90123456,22/09/1980,M,54911234575,7K,approved,3000,3000,0,0,03/02/2026,1009,
Valentina,Romero,valentina.romero@email.com,11234567,08/06/1993,F,54911234576,7K,approved,3000,3000,0,0,03/02/2026,1010,
Facundo,Torres,facundo.torres@email.com,22345678,18/02/1975,M,54911234577,7K,approved,3000,3000,0,0,04/02/2026,1011,
Camila,Álvarez,camila.alvarez@email.com,33456789,27/11/1998,F,54911234578,7K,approved,3000,3000,0,0,04/02/2026,1012,
Santiago,Vargas,santiago.vargas@email.com,44567890,03/05/1983,M,54911234579,7K,approved,3000,3000,0,0,04/02/2026,1013,
Lucía,Méndez,lucia.mendez@email.com,55678901,14/10/1991,F,54911234580,7K,approved,3000,3000,0,0,05/02/2026,1014,
Mateo,Castro,mateo.castro@email.com,66789012,29/07/1986,M,54911234581,7K,approved,3000,3000,0,0,05/02/2026,1015,
Isabella,Silva,isabella.silva@email.com,77890123,11/03/1989,F,54911234582,7K,approved,3000,3000,0,0,05/02/2026,1016,
Tomás,Ortiz,tomas.ortiz@email.com,88901234,06/12/1994,M,54911234583,7K,approved,3000,3000,0,0,06/02/2026,1017,
Emma,Rojas,emma.rojas@email.com,99012345,21/08/1981,F,54911234584,7K,approved,3000,3000,0,0,06/02/2026,1018,
Joaquín,Morales,joaquin.morales@email.com,10123456,16/01/1996,M,54911234585,7K,approved,3000,3000,0,0,06/02/2026,1019,
Mía,Gutiérrez,mia.gutierrez@email.com,21234567,02/04/1984,F,54911234586,7K,approved,3000,3000,0,0,07/02/2026,1020,
